Transaction ID,Store Location,Date,Time,Customer ID,Product ID,Product Name,Quantity,Cost,Price
TXN-0001,Store 1,2021-08-17,19:20,75999,1250,Product 1250,7,18.03,32.36
TXN-0002,Store 1,2021-08-20,21:5,83570,1916,Product 1916,7,31.63,93.81
TXN-0003,Store 1,2021-08-18,17:1,80476,1387,Product 1387,2,28.24,81.24
TXN-0004,Store 1,2021-08-14,12:4,92951,1254,Product 1254,1,7.61,15.25
TXN-0005,Store 1,2021-08-16,16:36,69243,1875,Product 1875,7,11.63,32.14
TXN-0006,Store 1,2021-08-19,20:45,70812,1775,Product 1775,4,43.7,126.83
TXN-0007,Store 1,2021-08-20,19:4,41941,1762,Product 1762,10,19.95,48.44
TXN-0008,Store 1,2021-08-18,19:54,17363,1014,Product 1014,6,39.31,78.81
TXN-0009,Store 1,2021-08-16,17:42,80725,1477,Product 1477,8,42.34,75.39
TXN-0010,Store 1,2021-08-18,10:54,88126,1628,Product 1628,6,23.21,48.18
TXN-0011,Store 1,2021-08-20,20:13,29217,1833,Product 1833,9,17.39,34.53
TXN-0012,Store 1,2021-08-20,19:11,80892,1459,Product 1459,5,10.2,22.45
TXN-0013,Store 1,2021-08-17,21:58,61366,1289,Product 1289,4,18.67,43.31
TXN-0014,Store 1,2021-08-14,23:45,42068,1994,Product 1994,9,28.71,60.61
TXN-0015,Store 1,2021-08-17,20:31,36606,1392,Product 1392,8,13.84,37.08
TXN-0016,Store 1,2021-08-18,15:49,55808,1163,Product 1163,8,16.47,29.98
TXN-0017,Store 1,2021-08-16,13:1,61599,1511,Product 1511,2,37.09,67.37
TXN-0018,Store 1,2021-08-15,11:28,35651,1584,Product 1584,9,21.9,65.1
TXN-0019,Store 1,2021-08-19,14:59,42231,1077,Product 1077,7,45.97,134.05
TXN-0020,Store 1,2021-08-19,17:9,56367,1589,Product 1589,3,8.74,21.41
TXN-0021,Store 1,2021-08-15,18:22,62971,1502,Product 1502,3,30.17,72.12
TXN-0022,Store 1,2021-08-18,20:54,65243,1878,Product 1878,7,18.66,55.37
TXN-0023,Store 1,2021-08-20,10:53,73816,1186,Product 1186,1,28.5,78.5
TXN-0024,Store 1,2021-08-19,13:57,82011,1723,Product 1723,5,33.38,75.58
TXN-0025,Store 1,2021-08-14,17:3,98330,1322,Product 1322,4,17.47,26.49
TXN-0026,Store 1,2021-08-20,17:48,68061,1154,Product 1154,8,11.83,21.62
TXN-0027,Store 1,2021-08-17,22:39,40476,1895,Product 1895,3,31.73,79.8
TXN-0028,Store 1,2021-08-19,12:11,73942,1420,Product 1420,9,32.74,97.02
TXN-0029,Store 1,2021-08-14,16:52,65248,1312,Product 1312,5,45.8,78.89
TXN-0030,Store 1,2021-08-19,13:39,72808,1897,Product 1897,5,12.39,36.69
TXN-0031,Store 1,2021-08-17,15:12,22523,1911,Product 1911,1,44.64,113.96
TXN-0032,Store 1,2021-08-18,16:7,23708,1211,Product 1211,1,32.77,84.6
TXN-0033,Store 1,2021-08-20,15:6,92406,1305,Product 1305,8,31.7,69.4
TXN-0034,Store 1,2021-08-17,16:11,29007,1504,Product 1504,7,12.29,21.8
TXN-0035,Store 1,2021-08-19,12:8,58450,1776,Product 1776,4,46.85,104.56
TXN-0036,Store 1,2021-08-20,11:50,81854,1214,Product 1214,9,29.64,68.59
TXN-0037,Store 1,2021-08-16,12:18,37503,1804,Product 1804,8,14.33,37.23
TXN-0038,Store 1,2021-08-16,18:31,36857,1402,Product 1402,2,5.01,10.28
TXN-0039,Store 1,2021-08-15,15:21,15768,1628,Product 1628,7,33.93,63.49
TXN-0040,Store 1,2021-08-20,14:44,33640,1177,Product 1177,3,47.14,136.58
TXN-0041,Store 1,2021-08-19,15:24,21212,1278,Product 1278,7,20.48,52.79
TXN-0042,Store 1,2021-08-16,11:4,98934,1928,Product 1928,10,26.01,60.81
TXN-0043,Store 1,2021-08-19,10:38,28465,1330,Product 1330,8,23.88,40.69
TXN-0044,Store 1,2021-08-14,17:38,27404,1310,Product 1310,3,25.81,45.42
TXN-0045,Store 1,2021-08-16,21:52,15360,1808,Product 1808,8,29.5,77.13
TXN-0046,Store 1,2021-08-17,19:9,43543,1415,Product 1415,2,15.43,38.17
TXN-0047,Store 1,2021-08-18,12:42,28812,1094,Product 1094,3,44.82,79.01
TXN-0048,Store 1,2021-08-16,11:2,42258,1298,Product 1298,6,45.42,126.45
TXN-0049,Store 1,2021-08-19,23:55,74398,1045,Product 1045,2,5.17,15.23
TXN-0050,Store 1,2021-08-20,14:0,48397,1747,Product 1747,5,14.53,30.11
TXN-0051,Store 1,2021-08-20,10:3,22598,1156,Product 1156,9,27.43,43.68
TXN-0052,Store 1,2021-08-18,23:0,99096,1589,Product 1589,3,18.39,32.01
TXN-0053,Store 1,2021-08-19,19:30,10628,1182,Product 1182,4,14.71,44.12
TXN-0054,Store 1,2021-08-20,23:35,99011,1783,Product 1783,3,49.49,82.61
TXN-0055,Store 1,2021-08-15,12:18,41774,1794,Product 1794,3,28.74,80.78
TXN-0056,Store 1,2021-08-19,13:55,29647,1162,Product 1162,10,39.47,73.87
TXN-0057,Store 1,2021-08-15,19:44,64215,1812,Product 1812,9,39.85,103.05
TXN-0058,Store 1,2021-08-16,18:21,19932,1915,Product 1915,2,22.05,57.02
TXN-0059,Store 1,2021-08-16,19:14,50117,1595,Product 1595,4,19.32,36.16
TXN-0060,Store 1,2021-08-19,21:7,89821,1361,Product 1361,4,12.64,32.73
TXN-0061,Store 1,2021-08-14,15:49,28730,1025,Product 1025,3,49.44,113.18
TXN-0062,Store 1,2021-08-14,11:8,89218,1739,Product 1739,9,36.93,66.85
TXN-0063,Store 1,2021-08-16,20:33,81812,1781,Product 1781,6,45.55,69.01
TXN-0064,Store 1,2021-08-19,14:54,53012,1987,Product 1987,3,32.81,62.99
TXN-0065,Store 1,2021-08-14,14:18,24808,1405,Product 1405,1,16.18,31.25
TXN-0066,Store 1,2021-08-20,11:53,81163,1612,Product 1612,4,31.35,55.95
TXN-0067,Store 1,2021-08-17,12:20,52886,1759,Product 1759,3,23.32,62.68
TXN-0068,Store 1,2021-08-17,19:13,83113,1683,Product 1683,3,48.06,111.38
TXN-0069,Store 1,2021-08-15,10:24,95000,1925,Product 1925,8,46.06,74.29
TXN-0070,Store 1,2021-08-20,16:43,59258,1958,Product 1958,2,44.88,92.39
TXN-0071,Store 1,2021-08-19,20:56,84315,1878,Product 1878,9,17.42,39.54
TXN-0072,Store 1,2021-08-17,19:30,36734,1973,Product 1973,8,49.47,83.67
TXN-0073,Store 1,2021-08-14,15:32,80949,1649,Product 1649,10,13.57,25.72
TXN-0074,Store 1,2021-08-17,22:18,13994,1639,Product 1639,10,12.02,24.0
TXN-0075,Store 1,2021-08-14,16:22,98752,1890,Product 1890,2,17.78,29.22
TXN-0076,Store 1,2021-08-18,13:13,29134,1254,Product 1254,7,18.64,49.06
TXN-0077,Store 1,2021-08-14,16:19,51422,1508,Product 1508,9,46.25,101.22
TXN-0078,Store 1,2021-08-20,10:0,45382,1780,Product 1780,6,49.19,87.44
TXN-0079,Store 1,2021-08-18,23:51,20463,1650,Product 1650,1,25.05,61.42
TXN-0080,Store 1,2021-08-14,17:4,49631,1724,Product 1724,2,7.61,20.44
TXN-0081,Store 1,2021-08-16,11:51,98303,1871,Product 1871,6,41.24,73.46
TXN-0082,Store 1,2021-08-19,12:34,51658,1560,Product 1560,10,30.63,73.6
TXN-0083,Store 1,2021-08-20,20:45,60518,1506,Product 1506,8,9.63,25.88
TXN-0084,Store 1,2021-08-19,17:36,53376,1443,Product 1443,7,44.86,69.03
TXN-0085,Store 1,2021-08-14,23:44,69852,1120,Product 1120,7,6.84,13.83
TXN-0086,Store 1,2021-08-17,21:2,51632,1622,Product 1622,6,17.04,43.1
TXN-0087,Store 1,2021-08-16,11:0,49722,1731,Product 1731,9,12.69,22.45
TXN-0088,Store 1,2021-08-20,20:17,21151,1729,Product 1729,3,35.14,103.96
TXN-0089,Store 1,2021-08-18,17:16,37246,1543,Product 1543,10,33.39,84.44
TXN-0090,Store 1,2021-08-20,17:36,74246,1077,Product 1077,8,15.56,40.94
TXN-0091,Store 1,2021-08-14,22:4,57144,1203,Product 1203,1,40.37,87.5
TXN-0092,Store 1,2021-08-16,21:16,30611,1369,Product 1369,5,45.05,110.54
TXN-0093,Store 1,2021-08-20,16:36,93092,1753,Product 1753,3,23.88,65.62
TXN-0094,Store 1,2021-08-15,15:35,54778,1656,Product 1656,5,37.07,64.0
TXN-0095,Store 1,2021-08-19,13:0,22819,1650,Product 1650,8,22.58,46.43
TXN-0096,Store 1,2021-08-18,19:7,50367,1417,Product 1417,8,41.16,105.95
TXN-0097,Store 1,2021-08-20,10:40,18917,1305,Product 1305,9,19.46,35.86
TXN-0098,Store 1,2021-08-17,18:6,70982,1997,Product 1997,5,39.35,78.0
TXN-0099,Store 1,2021-08-18,22:36,87146,1731,Product 1731,6,17.18,43.24
TXN-0100,Store 1,2021-08-18,19:0,99383,1198,Product 1198,8,12.66,35.59
TXN-0101,Store 1,2021-08-16,20:4,72440,1734,Product 1734,2,20.55,58.25
TXN-0102,Store 1,2021-08-18,22:56,10271,1236,Product 1236,3,17.65,36.64
TXN-0103,Store 1,2021-08-17,12:41,95836,1877,Product 1877,2,49.12,92.65
TXN-0104,Store 1,2021-08-14,17:39,54232,1289,Product 1289,3,31.9,58.87
TXN-0105,Store 1,2021-08-17,16:38,60915,1949,Product 1949,3,48.78,94.94
TXN-0106,Store 1,2021-08-15,18:16,96030,1552,Product 1552,1,11.14,18.91
TXN-0107,Store 1,2021-08-15,15:58,25381,1773,Product 1773,9,15.48,26.68
TXN-0108,Store 1,2021-08-19,15:34,18836,1295,Product 1295,4,15.07,24.08
TXN-0109,Store 1,2021-08-15,17:39,52004,1000,Product 1000,6,46.19,135.11
TXN-0110,Store 1,2021-08-16,23:7,76924,1930,Product 1930,10,6.77,11.14
TXN-0111,Store 1,2021-08-18,10:21,73980,1063,Product 1063,5,28.62,57.68
TXN-0112,Store 1,2021-08-14,16:7,42445,1656,Product 1656,6,41.71,80.84
TXN-0113,Store 1,2021-08-15,17:21,96046,1412,Product 1412,8,26.17,74.19
TXN-0114,Store 1,2021-08-15,15:23,39125,1578,Product 1578,6,7.59,12.59
TXN-0115,Store 1,2021-08-14,11:25,97925,1686,Product 1686,1,9.77,22.96
TXN-0116,Store 1,2021-08-20,14:49,83276,1885,Product 1885,10,46.49,92.88
TXN-0117,Store 1,2021-08-15,21:1,34214,1265,Product 1265,3,17.55,42.06
TXN-0118,Store 1,2021-08-16,20:45,55422,1895,Product 1895,6,22.17,46.4
TXN-0119,Store 1,2021-08-17,15:21,10556,1061,Product 1061,1,10.27,15.54
TXN-0120,Store 1,2021-08-15,18:5,55052,1847,Product 1847,4,19.03,29.62
TXN-0121,Store 1,2021-08-16,16:31,16880,1994,Product 1994,4,39.92,85.43
TXN-0122,Store 1,2021-08-19,17:26,15614,1582,Product 1582,1,14.09,35.14
TXN-0123,Store 1,2021-08-20,16:26,17549,1124,Product 1124,2,18.2,51.09
TXN-0124,Store 1,2021-08-18,20:40,40167,1571,Product 1571,1,35.62,84.46
TXN-0125,Store 1,2021-08-15,23:10,62203,1279,Product 1279,2,22.57,49.05
TXN-0126,Store 1,2021-08-16,22:56,82572,1681,Product 1681,7,11.59,27.56
TXN-0127,Store 1,2021-08-17,13:43,65133,1537,Product 1537,3,46.14,91.13
TXN-0128,Store 1,2021-08-19,17:29,11100,1429,Product 1429,10,7.59,11.5
TXN-0129,Store 1,2021-08-15,13:55,76956,1416,Product 1416,9,19.34,50.53
TXN-0130,Store 1,2021-08-20,11:10,75219,1014,Product 1014,3,11.45,22.94
TXN-0131,Store 1,2021-08-17,23:10,16550,1179,Product 1179,7,12.61,31.58
TXN-0132,Store 1,2021-08-14,17:46,78751,1367,Product 1367,2,38.82,62.49
TXN-0133,Store 1,2021-08-20,13:58,93167,1458,Product 1458,9,10.35,25.45
TXN-0134,Store 1,2021-08-16,11:28,88661,1967,Product 1967,8,41.31,90.5
TXN-0135,Store 1,2021-08-15,17:55,69435,1414,Product 1414,7,31.17,91.24
TXN-0136,Store 1,2021-08-20,17:4,79887,1117,Product 1117,9,9.53,17.3
TXN-0137,Store 1,2021-08-14,15:3,50879,1435,Product 1435,5,21.28,61.36
TXN-0138,Store 1,2021-08-15,15:56,90048,1910,Product 1910,3,40.86,115.48
TXN-0139,Store 1,2021-08-19,16:17,91083,1799,Product 1799,6,25.37,60.55
TXN-0140,Store 1,2021-08-17,21:18,49188,1562,Product 1562,8,34.59,102.26
TXN-0141,Store 1,2021-08-15,20:38,45725,1431,Product 1431,6,25.47,45.6
TXN-0142,Store 1,2021-08-20,16:57,83835,1856,Product 1856,3,47.32,141.38
TXN-0143,Store 1,2021-08-20,22:51,70804,1982,Product 1982,8,27.87,70.84
TXN-0144,Store 1,2021-08-19,22:37,77483,1640,Product 1640,7,5.81,15.15
TXN-0145,Store 1,2021-08-14,14:53,52951,1368,Product 1368,6,18.25,37.32
TXN-0146,Store 1,2021-08-20,18:32,73035,1701,Product 1701,7,32.35,73.9
TXN-0147,Store 1,2021-08-20,20:35,24842,1781,Product 1781,5,17.66,43.8
TXN-0148,Store 1,2021-08-17,16:19,67842,1062,Product 1062,7,10.14,26.09
TXN-0149,Store 1,2021-08-15,18:54,94936,1493,Product 1493,9,29.59,48.78
TXN-0150,Store 1,2021-08-15,15:49,93509,1440,Product 1440,9,48.73,106.29
TXN-0151,Store 1,2021-08-19,23:0,55004,1230,Product 1230,10,24.61,58.53
TXN-0152,Store 1,2021-08-17,13:41,37390,1469,Product 1469,5,16.44,34.8
TXN-0153,Store 1,2021-08-18,23:0,80262,1104,Product 1104,9,43.46,111.3
TXN-0154,Store 1,2021-08-16,19:59,15594,1870,Product 1870,8,38.75,63.31
TXN-0155,Store 1,2021-08-14,17:57,77913,1985,Product 1985,9,28.08,68.72
