Transaction ID,Store Location,Date,Time,Customer ID,Product ID,Product Name,Quantity,Cost,Price
1001,Store E,"01,06,23",0:07:12,CUST006,PRD002,Gadget - Large,4,9.99,19.99
1002,Store C,"01,06,23",0:08:21,CUST009,PRD002,Gadget - Large,4,9.99,19.99
1003,Store A,"01,06,23",0:09:50,CUST004,PRD003,Thingamajig - Medium,5,7.5,12.99
1004,Store B,"01,06,23",0:20:03,CUST006,PRD003,Thingamajig - Medium,5,7.5,12.99
1005,Store E,"01,06,23",0:23:50,CUST010,PRD007,Widget - Extra Large,4,6.5,14.99
1006,Store D,"01,06,23",0:25:46,CUST004,PRD005,Widget - Medium,3,4.5,9.99
1007,Store A,"01,06,23",0:33:53,CUST012,PRD005,Widget - Medium,5,4.5,9.99
1008,Store E,"01,06,23",0:36:21,CUST013,PRD008,Doohickey - Small,2,8.5,14.99
1009,Store A,"01,06,23",0:39:11,CUST013,PRD008,Doohickey - Small,5,8.5,14.99
1010,Store B,"01,06,23",0:41:40,CUST002,PRD004,Doohickey - Large,2,12.99,24.99
1011,Store C,"01,06,23",0:53:15,CUST013,PRD008,Doohickey - Small,5,8.5,14.99
1012,Store A,"01,06,23",0:53:47,CUST002,PRD008,Doohickey - Small,2,8.5,14.99
1013,Store A,"01,06,23",0:59:57,CUST003,PRD003,Thingamajig - Medium,5,7.5,12.99
1014,Store C,"01,06,23",1:08:40,CUST004,PRD003,Thingamajig - Medium,5,7.5,12.99
1015,Store C,"01,06,23",1:09:12,CUST007,PRD008,Doohickey - Small,3,8.5,14.99
1016,Store B,"01,06,23",1:12:42,CUST001,PRD003,Thingamajig - Medium,5,7.5,12.99
1017,Store C,"01,06,23",1:13:09,CUST012,PRD004,Doohickey - Large,5,12.99,24.99
1018,Store B,"01,06,23",1:23:17,CUST009,PRD008,Doohickey - Small,4,8.5,14.99
1019,Store A,"01,06,23",1:23:21,CUST005,PRD002,Gadget - Large,3,9.99,19.99
1020,Store B,"01,06,23",1:24:18,CUST007,PRD003,Thingamajig - Medium,4,7.5,12.99
1021,Store B,"01,06,23",1:24:25,CUST010,PRD005,Widget - Medium,4,4.5,9.99
1022,Store D,"01,06,23",1:26:04,CUST008,PRD008,Doohickey - Small,1,8.5,14.99
1023,Store A,"01,06,23",1:26:32,CUST009,PRD007,Widget - Extra Large,1,6.5,14.99
1024,Store C,"01,06,23",1:28:33,CUST006,PRD006,Whatchamacallit - Small,3,5.5,8.99
1025,Store C,"01,06,23",1:42:34,CUST011,PRD007,Widget - Extra Large,1,6.5,14.99
1026,Store A,"01,06,23",1:43:18,CUST003,PRD007,Widget - Extra Large,5,6.5,14.99
1027,Store D,"01,06,23",1:44:54,CUST013,PRD008,Doohickey - Small,1,8.5,14.99
1028,Store D,"01,06,23",1:59:27,CUST006,PRD005,Widget - Medium,5,4.5,9.99
1029,Store B,"01,06,23",2:10:38,CUST007,PRD005,Widget - Medium,5,4.5,9.99
1030,Store E,"01,06,23",2:10:55,CUST004,PRD003,Thingamajig - Medium,1,7.5,12.99
1031,Store B,"01,06,23",2:11:15,CUST003,PRD005,Widget - Medium,3,4.5,9.99
1032,Store E,"01,06,23",2:14:19,CUST008,PRD001,Widget - Small,5,3.5,5.99
1033,Store C,"01,06,23",2:15:28,CUST012,PRD001,Widget - Small,2,3.5,5.99
1034,Store A,"01,06,23",2:16:38,CUST005,PRD007,Widget - Extra Large,1,6.5,14.99
1035,Store C,"01,06,23",2:22:30,CUST003,PRD003,Thingamajig - Medium,2,7.5,12.99
1036,Store A,"01,06,23",2:22:56,CUST005,PRD004,Doohickey - Large,3,12.99,24.99
1037,Store A,"01,06,23",2:24:42,CUST008,PRD008,Doohickey - Small,3,8.5,14.99
1038,Store C,"01,06,23",2:26:46,CUST005,PRD003,Thingamajig - Medium,3,7.5,12.99
1039,Store C,"01,06,23",2:29:28,CUST011,PRD007,Widget - Extra Large,2,6.5,14.99
1040,Store B,"01,06,23",2:32:19,CUST012,PRD004,Doohickey - Large,1,12.99,24.99
1041,Store C,"01,06,23",2:32:48,CUST003,PRD002,Gadget - Large,3,9.99,19.99
1042,Store C,"01,06,23",2:34:37,CUST012,PRD002,Gadget - Large,3,9.99,19.99
1043,Store B,"01,06,23",2:35:45,CUST001,PRD002,Gadget - Large,3,9.99,19.99
1044,Store B,"01,06,23",2:43:48,CUST007,PRD001,Widget - Small,4,3.5,5.99
1045,Store A,"01,06,23",2:45:01,CUST013,PRD001,Widget - Small,1,3.5,5.99
1046,Store C,"01,06,23",2:45:43,CUST007,PRD007,Widget - Extra Large,4,6.5,14.99
1047,Store E,"01,06,23",2:48:17,CUST013,PRD002,Gadget - Large,1,9.99,19.99
1048,Store B,"01,06,23",2:51:16,CUST009,PRD002,Gadget - Large,2,9.99,19.99
1049,Store A,"01,06,23",2:55:12,CUST011,PRD003,Thingamajig - Medium,5,7.5,12.99
1050,Store D,"01,06,23",2:59:10,CUST004,PRD005,Widget - Medium,5,4.5,9.99
1051,Store B,"01,06,23",2:59:37,CUST001,PRD001,Widget - Small,4,3.5,5.99
1052,Store B,"01,06,23",3:00:44,CUST010,PRD002,Gadget - Large,3,9.99,19.99
1053,Store C,"01,06,23",3:03:05,CUST012,PRD001,Widget - Small,4,3.5,5.99
1054,Store C,"01,06,23",3:18:07,CUST011,PRD005,Widget - Medium,1,4.5,9.99
1055,Store D,"01,06,23",3:23:31,CUST001,PRD002,Gadget - Large,5,9.99,19.99
1056,Store B,"01,06,23",3:32:24,CUST004,PRD001,Widget - Small,4,3.5,5.99
1057,Store A,"01,06,23",3:34:20,CUST002,PRD008,Doohickey - Small,3,8.5,14.99
1058,Store E,"01,06,23",3:36:03,CUST012,PRD004,Doohickey - Large,5,12.99,24.99
1059,Store D,"01,06,23",3:39:58,CUST001,PRD002,Gadget - Large,1,9.99,19.99
1060,Store C,"01,06,23",3:41:09,CUST013,PRD001,Widget - Small,5,3.5,5.99
1061,Store D,"01,06,23",3:45:01,CUST001,PRD007,Widget - Extra Large,3,6.5,14.99
1062,Store C,"01,06,23",3:49:49,CUST004,PRD008,Doohickey - Small,3,8.5,14.99
1063,Store A,"01,06,23",3:51:44,CUST001,PRD004,Doohickey - Large,3,12.99,24.99
1064,Store C,"01,06,23",3:53:00,CUST005,PRD003,Thingamajig - Medium,2,7.5,12.99
1065,Store B,"01,06,23",3:59:13,CUST013,PRD005,Widget - Medium,4,4.5,9.99
1066,Store D,"01,06,23",4:05:01,CUST011,PRD003,Thingamajig - Medium,1,7.5,12.99
1067,Store A,"01,06,23",4:05:20,CUST011,PRD008,Doohickey - Small,4,8.5,14.99
1068,Store D,"01,06,23",4:15:11,CUST004,PRD001,Widget - Small,2,3.5,5.99
1069,Store C,"01,06,23",4:23:32,CUST006,PRD006,Whatchamacallit - Small,1,5.5,8.99
1070,Store E,"01,06,23",4:25:04,CUST011,PRD001,Widget - Small,1,3.5,5.99
